CEO Weekly,5 genres,$75 ,28,69,2-4 Days,United States,Discrete,Yes,Yes
Celebrity News,3 genres,$75 ,54,43,2-4 Days,United States,Discrete,Yes,Yes
World Reporter,3 genres,$75 ,56,50,2-4 Days,United States,Discrete,Yes,Yes
Hood Critic,Music,$75 ,11,25,1-3 Days,"United States
Utah",No,Yes,Yes
BLK News,3 genres,$75 ,52,44,2-4 Days,"New York
United States",Discrete,Yes,Yes
NY Wire,4 genres,$75 ,56,53,2-4 Days,"New York
United States",Discrete,Yes,Yes
Daily Scanner,5 genres,$75 ,67,59,1 Day,United States,No,Yes,No
Entertainment Monthly News,3 genres,$75 ,56,53,2-4 Days,Global,Discrete,Yes,Yes
LA Collide,4 genres,$75 ,11,12,1-3 Days,"California
United States",Discrete,Yes,No
Influencer Daily,3 genres,$75 ,60,52,2-4 Days,Global,Discrete,Yes,Yes
Chicago Journal,4 genres,$75 ,52,56,2-4 Days,"Illinois
United States",Discrete,Yes,Yes
Artist Weekly,Music,$75 ,55,56,2-4 Days,United States,Discrete,Yes,Yes
Market Daily,3 genres,$75 ,59,45,2-4 Days,United States,Discrete,Yes,Yes
Portland News,4 genres,$75 ,57,42,2-4 Days,"Oregon
United States",Discrete,Yes,Yes
Entertainment Post,Entertainment,$75 ,55,46,2-4 Days,United States,Discrete,Yes,Yes
Cali Post,NewsMusic,$75 ,60,55,1-3 Days,"California
United States",No,Yes,Yes
Economic Insider,BusinessNews,$75 ,55,50,2-4 Days,United States,Discrete,Yes,Yes
Medium,News,$75 ,95,94,1 Day,Global,No,Yes,No
US Insider,4 genres,$75 ,57,54,2-4 Days,Global,Discrete,Yes,Yes
US Reporter,6 genres,$75 ,56,60,2-4 Days,Global,Discrete,Yes,Yes
Texas Today,News,$75 ,57,48,2-4 Days,"Texas
United States",Discrete,Yes,Yes
Networth.us,Business,$75 ,56,26,2-4 Days,United States,Discrete,Yes,Yes
Music Observer,Music,$75 ,60,44,2-4 Days,Global,Discrete,Yes,Yes
Famous Times,3 genres,$75 ,60,50,2-4 Days,"California
United States",Discrete,Yes,Yes
LA Entertainment Weekly,Entertainment,$75 ,63,22,1 Day,"California
United States",No,Yes,No
24 Hip Hop,3 genres,$75 ,31,47,1-3 Days,Global,No,Yes,No
Real Estate Today,3 genres,$75 ,18,50,2-4 Days,Global,Discrete,Yes,Yes
Voyage New York,4 genres,$75 ,56,48,2-4 Days,"New York
United States",Discrete,Yes,Yes
Atlanta Wire,3 genres,$75 ,57,45,2-4 Days,"Georgia
United States",Discrete,Yes,Yes
Disrupt Magazine,5 genres,$75 ,41,73,2-3 Weeks,Global,No,Yes,No
NY Weekly,3 genres,$75 ,57,75,2-4 Days,"New York
United States",Discrete,Yes,Yes
California Gazette,NewsBusiness,$75 ,64,52,2-4 Days,"California
United States",Discrete,Yes,Yes
Wall Street Times,3 genres,$75 ,54,46,2-4 Days,"New York
United States",Discrete,Yes,Yes
LA Wire,3 genres,$75 ,57,65,2-4 Days,"California
United States",Discrete,Yes,Yes
HipHopSince1987,Music,$75 ,58,58,3 Days,Global,No,Yes,Yes
California Observer,4 genres,$75 ,54,41,1-3 Days,California,No,Yes,Yes
NY Times Mag,NewsLifestyle,$75 ,18,32,1 Day,"New York
United States",No,Yes,No
Miami Wire,5 genres,$75 ,17,53,2-4 Days,"Florida
United States",Discrete,Yes,Yes
Women's Journal,NewsLifestyle,$75 ,55,55,2-4 Days,United States,Discrete,Yes,No
US Business News,BusinessNews,$75 ,57,52,2-4 Days,United States,Discrete,Yes,Yes
Vents Magazine,3 genres,$80 ,64,77,1-3 Days,United States,No,Yes,Yes
Film Daily,Entertainment,$80 ,64,73,1 Week,United States,No,Yes,Yes
Self Growth,Lifestyle,$80 ,63,77,1 Day,Global,No,Yes,No
Mark Meets,Music,$100 ,68,74,1 Day,United Kingdom,No,Yes,Yes
The Sustainable Post,News,$100 ,62,36,3 Days,"United States
Global",No,Yes,Yes
Restaurant Portals,Lifestyle,$100 ,62,12,3-5 Days,United States,No,Yes,Yes
Cryptonexa,Web 3,$100 ,56,38,3-5 Days,Global,No,Yes,Yes
Elite Luxury News,3 genres,$100 ,59,70,1-3 Days,"United States
Global",No,Yes,Yes
Miami Weekly,3 genres,$100 ,57,70,1 Day,"Florida
United States",Discrete,Yes,No
Opulence Magazine,News,$100 ,38,26,3 Days,United Kingdom,No,Yes,Yes
Ravish Magazine,News,$100 ,56,56,3 Days,United Kingdom,No,Yes,Yes
MetaPress,News,$100 ,77,81,1-3 Days,United States,No,Yes,Yes
Platter Share,Lifestyle,$100 ,56,33,3 Days,United States,No,Yes,Yes
The Influential,3 genres,$100 ,58,36,3 Days,"Global
United States",No,Yes,Yes
Home Design Looks,NewsReal Estate,$100 ,51,39,3-5 Days,United States,No,Yes,Yes
Cali Weekly,News,$100 ,58,70,1 Day,"California
United States",Discrete,Yes,No
Muzique Magazine,Music,$100 ,55,50,1-3 Days,Global,No,Yes,Yes
"CEO Magazine
New",Business,$100 ,38,1,1-3 Days,United States,Discrete,Yes,Yes
Elite Music News,Music,$100 ,51,15,1-3 Days,"Global
United States",No,Yes,Yes
The Pinnacle List,News,$100 ,54,59,3 Days,United States,No,Yes,Yes
"Exec Magazine
New",News,$100 ,38,1,1-3 Days,United States,Discrete,Yes,Yes
Explainopedia,News,$100 ,24,45,3 Days,United States,No,Yes,Yes
Huff Mag,Lifestyle,$100 ,62,34,1 Day,Global,No,Yes,No
Restaurant WebX,Lifestyle,$100 ,60,43,3-5 Days,United States,No,Yes,Yes
Broke & Chic,FashionLifestyle,$100 ,39,44,1-3 Days,Global,No,Yes,No
The Bragging Mommy,NewsLifestyle,$100 ,37,51,3-5 Days,United States,No,Yes,Yes
Fox Interviewer,News,$100 ,57,57,1 Week,Global,No,Yes,No
Ignite Magazine,News,$100 ,37,17,3 Days,United Kingdom,No,Yes,Yes
"Boss Today
New",Business,$100 ,38,1,1-3 Days,United States,Discrete,Yes,Yes
West Hollywood Weekly,3 genres,$100 ,53,70,3-5 Days,"California
United States",No,Yes,Yes
"NY Magazine
New",News,$100 ,37,1,1-3 Days,United States,Discrete,Yes,Yes
Curious Mind Magazine,News,$100 ,64,54,3-5 Days,United States,No,Yes,Yes
Elite Property News,3 genres,$100 ,60,36,3-5 Days,"Global
United States",No,Yes,Yes
Restaurant Web Experts,Lifestyle,$100 ,62,53,3-5 Days,United States,No,Yes,Yes
Futuristic Architecture,Real EstateLifestyle,$100 ,77,61,3 Days,United States,No,Yes,Yes
LIT. Magazine,News,$100 ,37,19,3 Days,United Kingdom,No,Yes,Yes
Hamptons Weekly,News,$100 ,64,70,1 Day,"New York
United States",Discrete,Yes,No
Resto Guides,Lifestyle,$100 ,64,20,3-5 Days,United States,No,Yes,Yes
News Today,News,$100 ,66,31,3-5 Days,United Kingdom,No,Yes,Yes
Dubai Weekly,News,$100 ,66,70,3 Days,"Middle East
UAE",No,Yes,Yes
LA Voice,News,$100 ,59,70,1 Day,"California
United States",Discrete,Yes,No
Restaurant Web Expert,Lifestyle,$100 ,62,51,3-5 Days,United States,No,Yes,Yes
Momma Cuisine,Lifestyle,$100 ,34,37,3 Days,United States,No,Yes,Yes
Mom Blog Society,Lifestyle,$100 ,37,63,3 Days,United States,No,Yes,Yes
GISuser,Tech,$100 ,50,68,3 Days,United States,No,Yes,Yes
"VC Magazine
New",NewsBusiness,$100 ,39,1,1-3 Days,United States,Discrete,Yes,Yes
Cooking Instilettos,Lifestyle,$100 ,67,55,3-5 Days,United States,No,Yes,Yes
The Beverly Weekly,3 genres,$100 ,62,32,3-5 Days,"California
United States",No,Yes,Yes
"Luxury Miami Magazine
Staff",Luxury,$100 ,37,60,2-3 Days,Florida,No,Yes,No
LA Examiner,News,$100 ,61,70,1 Day,"California
United States",Discrete,Yes,No
Tech Bullion,Tech,$100 ,63,79,1 Week,United States,No,Yes,Yes
"CEO Official Mag
Staff",Business,$100 ,37,62,2-3 Days,United States,No,Yes,No
Restaurant Snapshot,Lifestyle,$100 ,63,53,3-5 Days,United States,No,Yes,Yes
The Texas Developer,News,$100 ,57,38,3 Days,"Texas
United States",No,Yes,Yes
Crave Magazine,News,$100 ,54,40,3 Days,United Kingdom,No,Yes,Yes
The Influence Journal,News,$100 ,60,51,3 Days,"Global
United States",No,Yes,Yes
Weed Times,News,$100 ,57,70,1 Day,Global,Discrete,Yes,No
Nano Biz Tech,Tech,$125 ,59,46,3-5 Days,United States,No,Yes,Yes
Style Beauty Health,FashionLifestyle,$125 ,62,42,3-5 Days,United States,No,Yes,Yes
Luxury Travel Magazine,Lifestyle,$125 ,53,71,1-3 Days,United States,No,Yes,Yes
Kivo Daily,BusinessTech,$125 ,60,65,2-4 Days,"United States
Global",No,Yes,Yes
"Load2Learn
New",News,$125 ,40,,1-3 Days,United Kingdom,No,Yes,Yes
The UBJ,BusinessNews,$125 ,58,56,1 Week,Global,No,Yes,No
"Scotland B2B
New",News,$125 ,33,42,2-3 Days,United Kingdom,No,Yes,Yes
Market Business News,3 genres,$125 ,71,77,3 Days,Global,No,Yes,No
"Infopool
New",News,$125 ,60,43,3-5 Days,United Kingdom,No,Yes,Yes
Geek Insider,NewsTech,$125 ,47,56,3-5 Days,United States,No,Yes,Yes
ABC Money,NewsBusiness,$125 ,67,59,3-5 Days,United Kingdom,No,Yes,Yes
Holly Health Fitness,Lifestyle,$125 ,58,41,3-5 Days,United States,No,Yes,Yes
Go Web Md,Tech,$125 ,55,35,3-5 Days,United States,No,Yes,Yes
"The Naptime Reviewer
New",Lifestyle,$125 ,35,50,2-3 Days,United States,No,Yes,Yes
"The Dedicated House
New",Lifestyle,$125 ,33,53,1-3 Days,United States,No,Yes,Yes
Flare Magazine,Lifestyle,$125 ,37,33,3-5 Days,United Kingdom,No,Yes,Yes
The Reddit Blog,News,$125 ,57,34,3-5 Days,United States,No,Yes,Yes
Digital Fitness World,NewsLifestyle,$125 ,56,38,3-5 Days,United States,No,Yes,Yes
The Marketing Pilot,NewsBusiness,$125 ,58,42,3-5 Days,United States,No,Yes,Yes
Beautyation,3 genres,$125 ,55,41,3 Days,United States,No,Yes,Yes
Healthcares Blog,Lifestyle,$125 ,58,38,3-5 Days,United States,No,Yes,Yes
Stephi Lareine,NewsLifestyle,$125 ,60,42,3-5 Days,United Kingdom,No,Yes,Yes
Next Web Blog,Tech,$125 ,56,40,3-5 Days,United States,No,Yes,Yes
Infinity Else,News,$125 ,35,35,3-5 Days,United Kingdom,No,Yes,Yes
Big Time Daily,News,$125 ,54,64,5 Days,United States,No,Yes,Yes
Design By Sully,Lifestyle,$145 ,56,55,3 Days,United States,No,Yes,Yes
"High Net Worth Magazine
Staff",5 genres,$150 ,8,59,1 Day,United States,No,Yes,Yes
Oh My Dish (Netherlands),Lifestyle,$150 ,28,28,3-5 Days,Netherlands,No,Yes,Yes
Oh My Dish,Lifestyle,$150 ,41,51,3 Days,United States,No,Yes,Yes
Shibley Smiles,News,$150 ,46,54,3-5 Days,United States,No,Yes,Yes
LA Guest List,5 genres,$150 ,40,45,3 Days,"California
United States",No,Yes,No
Now Hip Hop,Music,$150 ,21,8,1-3 Days,United States,No,Yes,Yes
The Hype Magazine,EntertainmentMusic,$150 ,64,72,1 Week,United States,No,Yes,Yes
Asset Digest,News,$150 ,53,30,1-3 Days,United States,No,Yes,Yes
Madison Graph,News,$150 ,51,41,1-3 Days,United States,No,Yes,Yes
San Francisco Tribune,News,$150 ,54,7,3-5 Days,"California
United States",No,Yes,Yes
Psychreg,Lifestyle,$150 ,51,73,3 Days,United States,No,Yes,Yes
Los Angeles Tribune,News,$150 ,28,61,3-5 Days,"California
United States",No,Yes,Yes
Belmont Star,News,$150 ,52,36,1-3 Days,United States,No,Yes,Yes
Political Anthropologist,Political,$150 ,20,12,1-3 Days,Europe,No,Yes,Yes
Fairmont Post,News,$150 ,18,37,1-3 Days,United States,No,Yes,Yes
Girl Cooks World,Lifestyle,$150 ,49,53,3-5 Days,United States,No,Yes,Yes
Biz Dispatch,Business,$150 ,55,19,1-3 Days,United States,No,Yes,Yes
Economy Standard,Business,$150 ,54,31,1-3 Days,United States,No,Yes,Yes
Companies Digest,Business,$150 ,56,37,1-3 Days,United States,No,Yes,Yes
"Transit Tomorrow
Staff",3 genres,$150 ,57,17,1-3 Days,United States,No,Yes,Yes
Daily RX,Lifestyle,$150 ,49,54,3 Days,United States,No,Yes,Yes
Healthcare Business Today,News,$150 ,45,73,3-5 Days,United States,No,Yes,Yes
"Nohoarts District
New",News,$150 ,47,64,2-3 Days,United States,No,Yes,Yes
Ritz Herald News,4 genres,$150 ,57,67,1-3 Days,Canada,No,Yes,Yes
"Meditech Today
Staff",3 genres,$150 ,56,26,1-3 Days,United States,No,Yes,Yes
My Face Hunter,Lifestyle,$150 ,72,55,3 Days,United States,No,Yes,Yes
Kellys Thoughts On Things,Lifestyle,$150 ,48,65,3-5 Days,United States,No,Yes,Yes
Get World Beauty,NewsFashion,$150 ,55,38,3 Days,United States,No,Yes,Yes
European Financial Review,Business,$150 ,46,62,1-3 Days,Europe,No,Yes,Yes
Innov8tiv,Tech,$150 ,48,62,3 Days,United States,No,Yes,Yes
Our Kid Things,Lifestyle,$150 ,46,49,3-5 Days,United States,No,Yes,Yes
Chiang Rai Times,News,$150 ,80,70,3-5 Days,Global,No,Yes,No
European Business Review,Business,$150 ,56,79,1-3 Days,Europe,No,Yes,Yes
Brands Journal,Business,$150 ,53,36,1-3 Days,United States,No,Yes,Yes
The Luxe Insider,Luxury,$150 ,28,28,1-3 Days,Global,No,Yes,Yes
Fintech Herald,Business,$150 ,55,33,1-3 Days,United States,No,Yes,Yes
New York Street Food,Lifestyle,$150 ,66,46,3-5 Days,New York,No,Yes,Yes
Wealth Tribune,News,$150 ,54,26,1-3 Days,United States,No,Yes,Yes
International Releases,News,$150 ,54,26,1-3 Days,United States,No,Yes,Yes
The Boss Magazine,News,$150 ,51,73,1-3 Days,United States,No,Yes,Yes
Startup Observer,Business,$150 ,57,30,1-3 Days,United States,No,Yes,Yes
Lincoln Citizen,News,$150 ,52,36,1-3 Days,United States,No,Yes,Yes
"Smartech Daily
Staff",3 genres,$150 ,56,31,1-3 Days,United States,No,Yes,Yes
Homes Creative,Real Estate,$150 ,52,32,3 Days,United States,No,Yes,Yes
Blockchain Tribune,Web 3,$150 ,54,29,1-3 Days,United States,No,Yes,Yes
Luxury Advisor,News,$150 ,53,33,1-3 Days,United States,No,Yes,Yes
Palm Bay Herald,News,$150 ,51,23,1-3 Days,United States,No,Yes,Yes
Entrepreneur Tribune,Business,$150 ,52,35,1-3 Days,United States,No,Yes,Yes
Technology Dispatch,Tech,$150 ,54,59,1-3 Days,United States,No,Yes,Yes
Business Express,Business,$150 ,62,51,1-3 Days,United States,No,Yes,Yes
Techgyd,Tech,$150 ,75,54,1-3 Days,United States,No,Yes,Yes
Off The MRKT,NewsReal Estate,$150 ,33,60,3-5 Days,United States,No,Yes,Yes
Trading Herald,Business,$150 ,51,24,1-3 Days,United States,No,Yes,Yes
Cultr Magazine,7 genres,$150 ,34,50,1-2 Days,Global,No,Yes,Yes
World Financial Review,Business,$150 ,49,73,1-3 Days,Global,No,Yes,Yes
Markets Herald,Business,$150 ,56,61,1-3 Days,United States,No,Yes,Yes
"Financial Tech Times
Staff",5 genres,$150 ,56,29,1-3 Days,United States,No,Yes,Yes
Hudson Weekly,News,$150 ,54,55,1-3 Days,"United States
New York",No,Yes,Yes
Online World Herald,News,$150 ,54,23,1-3 Days,United States,No,Yes,Yes
Richest Magazine,News,$150 ,58,70,1 Day,Global,Discrete,Yes,No
Bit Rebels,TechWeb 3,$150 ,65,72,3 Days,United States,No,Yes,Yes
House Sit World,Lifestyle,$150 ,57,50,3 Days,United States,No,Yes,Yes
All China Review,News,$150 ,30,22,1-3 Days,China,No,Yes,Yes
Now Entertainment,EntertainmentMusic,$175 ,62,44,3 Days,Global,No,Yes,Yes
Music News,Music,$175 ,66,72,3 Days,Global,No,Yes,No
Professors House,News,$200 ,55,51,3 Days,United States,No,Yes,Yes
EDM Sauce,Music,$200 ,76,59,3 Days,Global,No,Yes,No
Adapt Network,News,$200 ,72,65,3-5 Days,United States,No,Yes,Yes
AllHipHop,Music,$200 ,73,73,3 Days,Global,No,Yes,No
Magnetic Mag,Music,$200 ,75,70,3 Days,Global,Discrete,Yes,No
Home Town Station,News,$200 ,66,75,3-5 Days,United States,No,Yes,Yes
Good Men Project,NewsLifestyle,$200 ,82,79,1 Week,Global,No,Yes,Yes
IB Times (AP),7 genres,$200 ,74,72,1 Week,Asia Pacific,No,Yes,No
We Rave You,Music,$200 ,56,64,1 Week,Global,No,Yes,No
The Up Coming,NewsLifestyle,$200 ,65,72,3-5 Days,United Kingdom,No,Yes,Yes
The Coaching Magazine,BusinessLifestyle,$200 ,56,11,3 Days,United States,No,Yes,Yes
1883 Magazine,News,$200 ,53,61,3 Days,United States,No,Yes,Yes
Deadline News,News,$200 ,74,68,3 Days,United Kingdom,No,Yes,No
Art Daily,EntertainmentLifestyle,$200 ,65,78,1-3 Days,Global,No,Yes,Yes
Patch.com,News,$200 ,91,90,3-5 Days,United States,Yes,Yes,No
Mom The Mag,Lifestyle,$200 ,56,2.8,1-3 Days,United States,No,Yes,No
ZyCrypto,Web 3,$200 ,51,72,1 Week,Global,Discrete,Yes,No
Anglotopia,News,$200 ,62,57,3 Days,Illinois,No,Yes,Yes
Fine Homes and Living,Real Estate,$200 ,44,63,3 Days,United States,No,Yes,Yes
I Love South Africa,News,$200 ,18,5,3-5 Days,Africa,No,Yes,Yes
"Neon Music
Lowered",Music,$200 ,63,55,3-5 Days,Global,No,Yes,Yes
SA Promo,News,$250 ,38,34,3-5 Days,Africa,No,Yes,Yes
The Source,Music,$250 ,82,76,1-3 Days,"United States
New York",No,Yes,No
CelebMix,3 genres,$250 ,63,64,3 Days,Global,No,Yes,No
Australian Times,News,$250 ,56,56,3-5 Days,Australia,No,Yes,Yes
"Business Insight
New",BusinessNews,$250 ,38,1,1-3 Days,United States,Discrete,Yes,Yes
EarMilk,Music,$250 ,60,72,1-2 Weeks,Global,No,Yes,No
Washington Independent,News,$250 ,61,70,3-5 Days,"Washington DC
United States",No,Yes,Yes
Deal Magazine,3 genres,$250 ,59,70,1 Day,Global,Discrete,Yes,No
"MSN
Raised",News,$250 ,94,92,1-3 Days,United States,No,Maybe,Yes
Rap Reviews,Music,$250 ,50,45,1-3 Days,Global,No,Yes,Yes
"Indie Hackers
New",News,$250 ,54,80,3-5 Days,United States,No,Yes,Yes
The Santa Clarita Valley Signal,News,$250 ,76,75,3-5 Days,California,No,Yes,Yes
Digital Music News,Music,$250 ,76,77,1 Week,Global,No,Yes,No
"TheCeo.in
New",Business,$275 ,34,64,3-5 Days,India,No,Yes,Yes
Newport Beach Independent,News,$300 ,44,56,1 Week,"California
United States",No,Yes,Yes
Science Times,Tech,$300 ,64,75,2-3 Days,United States,No,Yes,Yes
California Business Journal,3 genres,$300 ,40,70,1 Week,"California
United States",No,Yes,Yes
Outlook India,News,$300 ,91,88,1 Week,India,No,Yes,No
University Herald,News,$300 ,64,67,2-3 Days,United States,No,Yes,Yes
Money Times,Business,$300 ,28,29,1-3 Days,United States,No,Yes,Yes
Latitude 33 Magazine,Real EstateLifestyle,$300 ,5,2.6,1 Week,"California
United States",No,Yes,Yes
"Global Banking & Finance
Lowered",BusinessTech,$300 ,81,79,3-5 Days,United States,No,Yes,No
Laguna Beach Independent,News,$300 ,53,57,1 Week,"California
United States",No,Yes,Yes
Lawyer Herald,News,$300 ,52,41,2-3 Days,United States,No,Yes,Yes
Coastal Real Estate Guide,Real Estate,$300 ,19,25,1 Week,"California
United States",No,Yes,Yes
Fashion Week Daily,3 genres,$300 ,69,74,3-5 Days,Global,No,Yes,No
VC Post,4 genres,$300 ,62,62,1-3 Days,Global,No,Yes,No
Parent Herald,News,$300 ,62,65,2-3 Days,United States,No,Yes,Yes
Game n Guide,Gaming,$300 ,63,47,2-3 Days,United States,No,Yes,Yes
Fintech Finance News,Business,$300 ,39,73,1-3 Days,United States,No,Yes,Yes
"Yahoo News/Finance
Press Release",NewsBusiness,$300 ,93,92,3-5 Days,Global,Discrete,Yes,No
KPop Starz,Music,$300 ,82,61,2-3 Days,United States,No,Yes,Yes
Science World Report,News,$300 ,65,67,2-3 Days,United States,No,Yes,Yes
Billboard Argentina,Music,$300 ,37,37,3 Days,Argentina,No,Yes,No
Finance Digest,Business,$300 ,64,71,3-5 Days,United States,No,Yes,Yes
Latin Post,6 genres,$300 ,66,70,1-3 Days,Global,No,Yes,No
Laguna Beach Magazine,FashionLifestyle,$300 ,27,40,1 Week,"California
United States",No,Yes,Yes
Young Health Magazine,Lifestyle,$300 ,53,43,2-3 Days,United States,No,Yes,Yes
"Street Insider
Press Release",NewsBusiness,$300 ,83,80,3-5 Days,United States,Discrete,Yes,No
Newport Beach Magazine,News,$300 ,32,39,1 Week,"California
United States",No,Yes,Yes
Motor Times,News,$300 ,6,18,2-3 Days,United States,No,Yes,Yes
Dancing Astronaut,Music,$300 ,62,66,3 Days,Global,No,Yes,No
"Khaleej Times
Press Release",News,$325 ,87,83,5 Days,"UAE
Middle East",No,Yes,Yes
"Digital Journal
Contributor",4 genres,$325 ,87,87,1-3 Days,Global,No,Yes,Yes
"Business Insider / Yahoo / AP News
Press Release",3 genres,$350 ,94,92,3-5 Days,United States,Discrete,Yes,No
Pulse.com.gh,News,$350 ,78,71,2-3 Days,Ghana,No,Yes,No
